wavelength_nm,Cab,Car,Anth,Cw,Cm,LAI,Cp,Cbc
513,0.22358833290376082,0.9967108810077829,0.7059149798621557,5.931621880986693e-06,0.06546976763134829,0.8263434334315708,6.499154453950658e-15,0.06383139038116789
514,0.23179959172031517,0.9932604455769487,0.7240005329738974,6.13550006900402e-06,0.06713225657713846,0.8225465937644323,0.0,0.06545164140615352
515,0.24023069562114027,0.9887007907443848,0.7416373598616165,6.340033466069215e-06,0.06876433290179751,0.818783277595405,6.36382071475234e-15,0.06704218682961571
516,0.24886183101818332,0.9831140290958001,0.758831735235233,6.546001263849835e-06,0.07036694301798332,0.8150544740939782,4.1988049123853065e-15,0.0686039525770513
517,0.25767394326303533,0.9765703757191485,0.7755544152462093,6.753880681679076e-06,0.07194045433626438,0.8113596305620887,0.0,0.0701373010918773
518,0.2666439053388029,0.9691507761913756,0.7918043982122308,6.963649734035158e-06,0.07348496364929467,0.8077013466856268,8.227946221268478e-15,0.07164232899876473
519,0.2757481145216617,0.9609373215300078,0.8075495021361547,7.1749080616563235e-06,0.07499951220808869,0.8040828096882782,0.0,0.07311810318972263
520,0.2849594828458252,0.9520075057955376,0.8227807617685367,7.387114026163528e-06,0.07648304749725446,0.8005061590102829,6.049118401790457e-15,0.0745636000226742
521,0.29425919958430685,0.9424519251128133,0.8374523561823258,7.599620855728954e-06,0.0779341689377048,0.7969769922782566,0.0,0.07597745484055443
522,0.3036182997393364,0.9323530930498733,0.851549237513271,7.811643616285503e-06,0.07935124189441627,0.7934988381003002,5.9329224147812936e-15,0.07735807630987085
523,0.31301075390467215,0.9218147709537834,0.865059369707411,8.02219055161969e-06,0.08073267958735267,0.7900777513289465,1.9590178944843414e-15,0.07870391798482694
524,0.3224085412931434,0.9109290895414146,0.8779734554614121,8.23039773451345e-06,0.08207686522917314,0.7867187384942187,1.9409119348340113e-15,0.08001340543095975
525,0.33178621232128036,0.8997838441070699,0.8902623524779852,8.435553922098768e-06,0.08338208125583456,0.7834265422748948,7.693343667191539e-15,0.08128486658892264
526,0.3411150533202432,0.8884656079065255,0.90191936507337,8.63735043754307e-06,0.08464667237181461,0.7802074412740988,5.718930208918695e-15,0.08251669017235737
527,0.35036661374989847,0.8770594567399703,0.9129364422398097,8.835837689456383e-06,0.08586950875540521,0.7770653709189941,7.559368490076472e-15,0.08370777813210403
528,0.3595117361513107,0.8656399687083745,0.9233191731464565,9.031057788992728e-06,0.08704980863729751,0.7740052935331054,0.0,0.08485737229398232
529,0.3685527987487829,0.8542254306864296,0.9330403578819805,9.222842129306875e-06,0.08818704102706797,0.771030440484616,7.434485228473866e-15,0.0859649599550637
530,0.3774936347563671,0.8427894524373203,0.9421046121828339,9.4106669205246e-06,0.08927994518715841,0.768146376728529,7.37555075684608e-15,0.08702931651614046
531,0.3863431384721401,0.831305389937126,0.950508140973477,9.594006803880698e-06,0.09032741385933056,0.7653593568772896,7.319048771817308e-15,0.08804936726923598
532,0.3951058532125763,0.8197461061722545,0.958258370605299,9.772989488082367e-06,0.0913282933251142,0.762674345656304,0.0,0.0890239928968397
533,0.40379707381669044,0.8080772688811738,0.9653165026793409,9.948183237220104e-06,0.09228134842930183,0.7600977145281655,1.8033905189023326e-15,0.0899519952313735
534,0.4124220585787505,0.7962654309366185,0.9716983102896083,1.0119392847257387e-05,0.0931858808982563,0.7576346823422525,3.582352167196663e-15,0.09083269999965268
535,0.4209906716928561,0.7842805717359206,0.9773981855313898,1.0285707293285027e-05,0.09404114339347934,0.7552905958753735,3.559254317834657e-15,0.09166538518078989
536,0.4295081757800601,0.7720815553324317,0.9824323106877992,1.0447157355306667e-05,0.09484666940790251,0.7530705793099443,1.7687565412938903e-15,0.09244960345616746
537,0.4379860686539773,0.7596288352937731,0.9867933241288281,1.0604575384954416e-05,0.09560217264983471,0.7509794243462664,8.792876674846145e-15,0.09318508294631121
538,0.4464317363742666,0.7468773203465702,0.9905068026325914,1.075847328968424e-05,0.09630804432445038,0.7490202976739927,6.99634923124821e-15,0.09387221255395552
539,0.4548571053070158,0.7337757428690546,0.9935904824384991,1.0908885890503436e-05,0.09696493129486615,0.7471959767389971,3.4805898062549464e-15,0.09451163034709362
540,0.4632703494375081,0.7202753101834231,0.9960612554725943,1.1055801084695878e-05,0.09757343677264387,0.7455088225488954,5.196597473456994e-15,0.09510393130674198
541,0.4716841857303706,0.7063245546173116,0.997921188599796,1.1199465853094751e-05,0.0981343489983008,0.7439597446680628,6.899180759479901e-15,0.09564989045569897
542,0.4801117766720167,0.6918755950490098,0.9991911030660368,1.1340483925869398e-05,0.09864892365272969,0.7425497423254451,3.4361573765074172e-15,0.09615073709658112
543,0.48856543515796774,0.6768775907049199,0.9998824309613641,1.1479481334485764e-05,0.09911773821560431,0.7412800810248182,6.8481906093041155e-15,0.09660703915068677
544,0.4970616646414661,0.6612731625560758,1.0,1.1616380428932297e-05,0.0995411926492049,0.7401520336606875,5.120102550087586e-15,0.09701919090650608
545,0.5056204061926264,0.6450125901137315,0.9995241413342262,1.1750669443467958e-05,0.09991932722093289,0.7391668025996223,0.0,0.0973872352675278
546,0.5142592161894943,0.6280524475838073,0.9984548908577873,1.1883080201551991e-05,0.10025197409106573,0.738325709887264,6.792234375734885e-15,0.09771101098041465
547,0.522998121721167,0.6103574880987075,0.9967758123231644,1.201509157750212e-05,0.10053853808373224,0.7376309806637057,3.389537975453235e-15,0.09798993938906701
548,0.531853917029077,0.5919136809905585,0.9944805288288915,1.2146641458968928e-05,0.10077824472525751,0.7370845633521083,8.460867260664074e-15,0.09822326524363753
549,0.540850449997146,0.5727167270699189,0.991522830989621,1.227621136165369e-05,0.1009699467317706,0.7366878920876552,5.070826411794899e-15,0.09840986944105225
550,0.5500015036289304,0.5527780326874399,0.987893699536498,1.2404037630278391e-05,0.10111231332793887,0.7364428794865502,3.3781621788672538e-15,0.09854845209824645
551,0.5593158753882017,0.5321285418439429,0.9835789990509815,1.2532467235895944e-05,0.10120386110834205,0.7363487776936509,5.0657569605648854e-15,0.09863756341358294
552,0.5688018465759307,0.510813538137069,0.9785724917426791,1.2663017287100354e-05,0.10124353738807014,0.7364069354397949,0.0,0.09867617195830916
553,0.5784679724189044,0.48889827518414625,0.9728463717145281,1.2795285305648771e-05,0.10122990962447252,0.7366159681330883,3.3794004340180263e-15,0.0986628747511318
554,0.5883129932598378,0.46645810143102406,0.966391257039641,1.2928638689520536e-05,0.10116217600865862,0.7369734209266057,8.45646989641579e-15,0.09859688286429155
555,0.5983301026477892,0.44358594955288383,0.9592142058492806,1.3064403953427624e-05,0.10103972687779099,0.7374776407269791,8.467846078164988e-15,0.09847759372548098
556,0.6085089230254895,0.4203939254513013,0.9513148635405358,1.3205018710193125e-05,0.10086261826585241,0.7381244368879387,0.0,0.09830505294849551
557,0.618832394446868,0.3970194039918579,0.9426966532097233,1.3350410605762825e-05,0.10063172538888489,0.738907748450449,3.400177439873024e-15,0.09808010463477836
558,0.6292784218640858,0.37359508579340295,0.9333630692571773,1.3498038019762938e-05,0.10034830887444922,0.7398200326570201,8.521386029097782e-15,0.09780396882452665
559,0.6398170387318213,0.35026389287899934,0.9233365530980605,1.3647578830874297e-05,0.10001412388137498,0.740853820170866,5.1271321092998526e-15,0.09747834850942555
560,0.6504186977944815,0.32716339333338257,0.912643548813105,1.3801874335163437e-05,0.09963155639855578,0.7420004811306586,3.428707040043311e-15,0.09710556230256377
561,0.6610514812926339,0.3044312683966317,0.9013105270802364,1.3962475640326995e-05,0.09920367429544423,0.7432503350207372,3.4403301876125957e-15,0.09668859480749238
562,0.6716845589986693,0.2821814763554846,0.8893754701818857,1.4129372924568994e-05,0.09873336673579329,0.7445945313754049,6.905767948126761e-15,0.09623025740908567
563,0.6822880347016512,0.26052064272866626,0.8768709487378976,1.4303163224818392e-05,0.09822385558217706,0.7460239719902155,3.466292148613837e-15,0.09573368714104777
564,0.6928306992277379,0.23952424889850796,0.8638204527098421,1.4482476528943056e-05,0.09767726910991884,0.7475324686229767,3.480505569589207e-15,0.0952009557849429
565,0.7032874031169873,0.21927410226151486,0.8502493335492037,1.4666297973900899e-05,0.09709653467899425,0.7491126072720978,5.2431946006110665e-15,0.09463491576877747
